TransactionID,Time_of_day_hr,Amount,V1,V2,V3,Class
161,5.76,375.64,2.109,1.072,-1.785,0
162,4.34,25.9,-0.695,0.436,-1.552,0
163,19.95,8.0,0.603,0.609,-1.605,0
164,4.01,46.16,0.744,1.544,0.405,0
165,13.9,34.34,1.873,2.226,0.736,0
166,17.49,18.57,0.394,-0.704,1.517,0
167,3.67,97.65,-0.176,-1.56,1.152,0
168,17.83,11.59,2.067,0.031,0.178,0
169,9.01,13.78,0.909,-0.133,-0.713,0
170,19.11,7.13,-1.026,-0.758,-2.656,0
171,16.92,189.61,-0.303,0.522,-0.814,0
172,7.47,89.35,1.066,-1.463,-0.213,0
173,18.22,15.72,1.361,2.467,1.669,0
174,7.91,26.06,0.754,-0.554,2.575,0
175,20.14,21.32,-0.571,0.933,-0.701,0
176,12.6,90.07,1.612,1.53,-0.471,0
177,0.58,1.17,-0.124,1.61,-3.368,0
178,10.53,10.46,-0.202,-0.085,2.079,0
179,15.96,4.51,-2.417,-0.117,-1.265,0
180,14.13,12.52,-0.788,0.19,-2.151,0
181,10.26,45.85,3.509,-0.638,-1.084,0
182,11.52,106.33,0.992,0.064,-0.026,0
183,14.59,71.01,0.064,0.902,1.314,0
184,0.45,41.98,-1.265,-1.808,1.121,0
185,19.92,2.56,-0.799,-0.529,-0.111,0
186,14.69,238.81,0.073,0.115,2.249,0
187,8.01,70.0,0.698,0.412,1.756,0
188,3.98,12.78,-1.245,-0.126,0.199,0
189,6.82,65.83,-0.604,-0.519,-0.871,0
190,16.01,7.99,-1.868,0.206,0.165,0
191,1.59,93.73,-0.33,-2.153,0.364,0
192,17.28,17.94,0.471,-0.358,-0.012,0
193,13.22,30.51,1.692,-0.789,3.69,0
194,0.71,37.85,0.886,0.477,-0.156,0
195,14.87,154.11,0.859,0.454,0.748,0
196,14.17,26.92,-0.69,0.974,-0.706,0
197,3.58,22.3,1.103,1.42,0.67,0
198,20.1,95.22,0.927,1.319,1.66,0
199,2.36,10.53,0.719,-1.429,-0.293,0
200,11.16,6.2,-0.765,0.483,-0.021,0
201,20.99,137.24,-0.627,0.917,-1.55,0
202,5.26,53.22,-0.211,0.763,-0.171,0
203,18.98,21.74,1.101,-0.454,-0.36,0
204,16.2,15.37,-1.55,-0.397,2.544,0
205,13.61,32.87,0.007,0.701,1.648,0
206,18.18,217.42,-1.121,1.296,1.472,0
207,17.45,15.53,0.847,1.048,0.92,0
208,16.05,41.06,-0.848,2.237,0.806,0
209,4.22,6.14,1.02,-0.887,1.658,0
210,12.37,280.89,0.507,0.414,-0.872,0
211,14.13,144.41,-1.587,0.464,0.937,0
212,7.0,27.14,-0.37,0.506,0.451,0
213,20.36,35.97,0.908,-0.431,-1.109,0
214,13.15,107.59,-2.259,2.051,-0.658,0
215,17.26,29.77,0.054,0.403,1.331,0
216,13.8,332.38,-1.935,-1.479,0.746,0
217,16.3,33.6,1.483,1.141,0.752,0
218,17.42,123.48,-0.728,-0.471,-0.701,0
219,17.18,33.79,0.948,-0.814,-1.869,0
220,17.35,16.67,1.009,0.314,0.606,0
221,18.13,21.51,-0.263,-1.51,1.115,0
222,18.46,35.88,0.34,-0.958,-0.85,0
223,19.19,41.71,-0.944,-0.433,0.646,0
224,7.17,8.58,0.189,0.558,0.773,0
225,0.86,6.99,-0.214,1.472,-0.749,0
226,21.64,158.81,-0.528,0.292,-0.303,0
227,20.37,148.82,-1.394,0.05,1.654,0
228,4.37,672.57,2.212,-0.825,0.411,1
229,15.32,36.44,0.324,0.331,2.788,0
230,8.94,38.6,-1.7,-0.926,0.625,0
231,14.85,470.46,1.054,-0.471,-0.702,0
232,13.45,51.67,-0.935,-0.946,0.068,0
233,16.26,26.89,1.136,1.193,2.143,0
234,9.74,368.37,-0.086,-0.212,2.289,0
235,18.45,174.98,-0.964,0.264,-0.801,0
236,15.37,25.99,0.347,-1.151,-2.884,0
237,21.08,25.1,0.159,-0.869,-0.603,0
238,8.45,9.67,-1.931,0.692,0.75,0
239,19.0,66.05,0.044,1.01,-3.093,0
240,14.94,204.02,-1.017,1.256,0.293,0
241,14.29,18.6,0.907,-0.132,1.846,0
242,15.7,134.01,-0.327,1.287,1.643,0
243,11.88,37.55,1.689,0.499,-0.107,0
244,17.98,13.49,-0.197,0.591,-2.307,0
245,10.78,524.99,2.255,-1.882,-2.791,0
246,6.57,139.24,-1.808,-0.018,0.336,0
247,8.58,25.4,0.472,-0.037,0.535,0
248,2.31,44.82,0.595,0.439,-1.727,0
249,9.86,36.41,0.29,0.204,1.742,0
250,16.88,57.78,-0.505,0.056,-0.62,0
251,17.42,46.37,0.446,1.127,0.362,0
252,22.19,32.58,-1.415,-1.725,-0.712,0
253,16.6,39.92,-0.924,1.3,0.103,0
254,16.55,71.39,1.861,-2.333,0.006,0
255,7.49,10.6,-0.344,1.906,0.93,0
256,11.28,137.74,-0.585,0.521,-1.44,0
257,7.28,19.58,1.819,-1.041,-0.067,0
258,16.19,46.32,-0.04,0.186,1.241,0
259,20.05,61.19,0.153,1.337,2.108,0
260,8.33,16.0,-1.279,1.738,0.627,0
261,23.98,8.38,0.154,-0.78,-1.314,0
262,3.07,14.45,0.836,0.559,-2.474,0
263,11.36,129.53,-0.877,-1.591,-0.53,0
264,23.97,136.75,0.957,-0.074,0.474,0
265,12.17,104.0,-2.118,0.229,-0.887,0
266,19.1,13.61,0.922,-1.211,1.122,0
267,1.98,14.81,-0.678,1.717,0.067,0
268,16.14,164.3,-1.366,0.393,2.162,0
269,20.97,164.43,0.261,0.666,1.959,0
270,20.41,113.52,-0.021,0.985,0.878,0
271,1.94,12.27,-2.049,-1.079,1.981,0
272,2.38,207.68,2.109,1.149,2.039,0
273,12.36,217.07,-1.09,-1.044,-1.423,0
274,13.58,19.05,-1.775,2.25,-1.305,0
275,5.02,12.6,1.359,1.198,0.604,0
276,14.94,31.45,0.148,0.983,0.094,0
277,8.27,4.68,-0.433,0.041,-0.649,0
278,18.0,6.72,-3.274,-0.914,0.69,0
279,14.6,244.09,0.998,-0.064,1.673,0
280,14.16,58.61,0.503,-0.814,0.339,0
281,18.77,94.07,-3.65,-0.318,0.136,0
282,12.35,158.02,0.07,0.949,2.44,0
283,23.56,158.01,-0.958,0.95,-0.971,0
284,0.44,108.37,-0.094,-0.403,0.202,0
285,10.96,8.24,-0.467,-0.479,-0.609,0
286,11.35,15.74,0.621,-0.321,3.144,0
287,2.72,43.59,1.339,0.066,-2.368,0
288,4.43,98.84,1.295,-1.353,3.121,0
289,2.79,9.29,-0.894,-0.539,-0.105,0
290,20.97,111.62,0.888,2.622,0.541,0
291,11.62,6.62,-1.661,0.264,0.564,0
292,15.3,403.68,1.42,-1.824,-3.516,0
293,9.98,83.78,-0.986,-1.07,-0.225,0
294,14.16,40.53,1.396,0.186,-1.496,0
295,14.12,74.41,-0.685,0.696,-2.031,0
296,9.07,50.81,-1.388,-0.735,1.715,0
297,8.3,23.35,0.068,1.079,1.211,0
298,13.4,42.43,0.275,-1.7,2.263,0
299,14.52,241.4,-0.041,0.163,-1.75,0
300,18.17,112.97,-0.179,-0.667,0.823,0
301,17.36,19.18,-1.001,-0.071,-0.113,0
302,23.08,65.27,0.353,0.372,-0.008,0
303,18.79,198.5,0.449,1.845,-0.755,0
304,2.02,64.23,-2.338,0.055,-1.694,0
305,2.53,55.14,-0.72,0.32,0.579,0
306,12.59,17.1,0.374,-1.65,0.962,0
307,20.12,279.38,1.014,-0.085,-0.678,0
308,16.14,122.04,0.344,0.293,-0.367,0
309,7.61,32.54,0.622,0.513,2.212,0
310,20.2,28.9,3.811,1.542,0.658,0
311,4.47,75.9,0.852,-0.306,1.566,0
312,20.71,52.22,3.811,-0.042,1.045,0
313,16.75,90.47,-0.098,-0.181,-0.786,0
314,14.01,65.84,0.334,-0.001,0.164,0
315,17.85,23.44,-0.257,-1.427,3.043,0
316,18.25,8.45,-0.49,0.435,-0.143,0
317,23.63,22.94,-0.605,-1.27,0.796,0
318,11.52,16.19,0.353,1.93,0.12,0
319,13.52,23.08,0.267,-0.011,3.336,0
320,15.1,11.74,-0.939,1.628,-2.055,0
321,10.89,167.17,-1.129,-0.486,-1.526,0
322,8.14,108.06,-0.851,-0.329,0.7,0
323,16.76,5.34,-1.825,1.146,-1.16,0
324,18.86,43.04,0.506,-1.657,2.19,0
325,11.8,102.5,2.013,-1.016,0.317,0
326,16.44,75.6,1.27,-0.355,0.564,0
327,15.79,24.47,0.853,-0.815,-0.799,0
328,21.84,19.66,0.324,1.711,-0.597,0
329,18.5,12.22,1.091,-1.126,1.889,0
330,15.76,22.01,-0.186,1.144,-0.901,0
331,9.92,153.61,-0.11,1.946,-0.892,0
332,17.97,43.61,-0.229,-0.718,-0.049,0
333,8.43,16.06,-0.697,0.165,-0.175,0
334,15.3,183.56,1.719,0.102,-0.546,0
335,15.64,37.19,2.682,1.952,3.368,0
336,4.31,104.11,1.37,3.313,0.178,0
337,15.45,43.16,0.401,0.49,2.451,0
338,17.14,23.52,-0.735,-1.12,-1.554,0
339,7.11,1025.44,1.285,-1.03,1.381,1
340,6.41,47.1,-1.588,-0.577,-0.415,0
341,16.52,13.37,-0.304,-1.894,1.797,0
342,23.01,52.55,-0.003,-0.263,-3.378,0
343,8.38,7.99,-0.528,-0.759,-1.719,0
344,13.81,151.28,-0.715,1.533,-0.208,0
345,17.41,4.85,-0.844,0.833,-0.084,0
346,14.54,26.81,1.781,1.754,-1.636,0
347,9.19,65.3,-0.328,-1.012,0.306,0
348,11.15,10.13,0.612,2.111,-1.122,0
349,20.62,14.96,-0.998,-0.039,0.444,0
350,23.33,355.53,0.82,-0.095,1.12,0
351,17.69,29.5,-0.905,-0.085,-1.174,0
352,15.16,78.35,-0.958,-0.7,2.041,0
353,16.44,45.03,-1.036,-0.332,0.275,0
354,10.95,46.7,-1.01,0.782,-0.909,0
355,10.84,341.25,-1.172,-0.523,-2.084,0
356,16.18,30.21,0.226,1.054,0.099,0
357,14.35,10.08,-0.718,0.126,-0.5,0
358,16.37,30.65,1.008,0.394,1.46,0
359,8.67,40.58,0.56,1.981,1.21,0
360,20.16,25.75,1.277,0.375,-1.11,0
361,5.21,33.19,0.984,1.606,0.938,0
362,22.32,29.3,2.555,0.733,1.842,0
363,12.24,80.96,0.646,1.099,1.741,0
364,13.86,158.48,0.144,-0.38,0.651,0
365,8.46,24.32,1.152,0.776,1.365,0
366,17.37,4.94,-0.683,-0.237,0.955,0
367,5.11,30.33,2.568,-0.033,-1.263,0
368,20.54,109.35,-0.611,-0.22,-0.482,0
369,22.8,205.36,-1.338,-0.101,-0.692,0
370,1.5,46.9,-0.457,-0.345,-2.152,0
371,15.01,93.13,1.561,0.057,-1.168,0
372,11.35,18.92,0.207,-0.293,-2.169,0
373,15.64,42.23,-0.228,-0.308,-0.349,0
374,10.29,3.73,-0.021,0.104,-0.674,0
375,21.5,24.35,0.42,-0.048,0.807,0
376,9.49,33.99,1.469,0.885,0.884,0
377,11.74,32.42,-1.581,1.096,0.266,0
378,18.11,46.49,-0.507,-0.281,0.608,0
379,19.71,8.86,0.753,2.663,-1.136,0
380,15.29,10.45,0.881,-0.624,-1.979,0
381,11.65,83.01,-2.127,0.136,1.191,0
382,22.63,52.01,0.685,0.637,0.562,0
383,1.52,96.78,1.428,1.058,-1.491,0
384,12.49,113.07,0.624,-0.935,-1.423,0
385,15.25,43.79,1.732,-0.16,-2.044,0
386,1.21,46.5,-0.763,2.908,1.451,0
387,11.87,45.2,-0.429,1.164,-0.518,0
388,21.65,22.93,-1.959,0.219,0.475,0
389,15.81,27.23,0.951,0.064,-1.455,0
390,12.43,86.8,-0.308,0.996,1.212,0
391,9.56,9.82,1.474,0.725,0.066,0
392,17.25,32.28,-0.317,-0.11,-0.217,0
393,15.33,474.85,0.996,-0.049,-1.408,0
394,8.52,215.95,0.097,-0.016,-1.395,0
395,12.72,309.4,-0.63,-0.747,-2.653,0
396,23.66,126.0,0.229,-1.387,0.7,0
397,5.83,43.01,0.121,1.709,0.638,0
398,18.38,101.82,0.419,1.026,0.436,0
399,9.05,17.61,0.015,2.389,0.631,0
400,9.59,24.9,0.826,1.58,-1.721,0
401,11.53,81.14,-2.628,2.189,0.224,0
402,11.39,25.99,0.281,-0.405,0.918,0
403,15.15,36.21,0.145,0.392,-3.362,0
404,18.52,27.23,-0.023,-0.807,-0.724,0
405,10.61,9.17,-2.933,-1.443,-1.614,0
406,16.72,18.25,2.077,-0.285,-1.622,0
407,20.45,77.84,-1.428,0.519,0.392,0
408,17.34,12.15,0.865,1.57,-1.326,0
409,8.38,10.39,-2.644,1.19,0.118,0
410,0.76,93.88,-0.442,0.264,-1.773,0
411,20.01,82.76,-1.361,-0.885,0.881,0
412,8.77,57.05,-0.945,-1.733,-0.455,0
413,18.29,49.44,2.581,-1.59,-0.074,0
414,14.7,6.27,-2.298,-0.128,-0.569,0
415,12.55,29.98,-2.502,-0.16,-2.117,0
416,10.33,9.53,0.154,0.724,2.514,0
417,20.3,20.61,0.305,-0.008,0.501,0
418,20.08,69.54,-0.549,0.963,-1.137,0
419,21.56,60.17,-0.719,-0.397,2.2,0
420,5.63,30.66,-2.211,0.177,2.435,0
421,15.45,34.26,0.714,-1.947,1.693,0
422,22.24,19.26,-0.658,-0.009,-1.894,0
423,8.4,22.95,0.205,-0.306,1.145,0
424,14.67,35.02,1.254,-1.102,-1.376,0
425,19.23,89.57,-0.697,-0.074,-0.206,0
426,19.54,42.11,-0.168,0.382,0.233,0
427,13.99,40.78,0.468,-1.436,-1.276,0
428,7.93,51.97,1.411,-0.368,0.052,0
429,6.89,99.07,-0.732,1.19,1.917,0
430,4.95,45.76,-1.501,-0.317,-1.68,0
431,10.06,16.23,0.077,0.548,1.062,0
432,23.79,12.56,-1.335,-1.026,-0.377,0
433,15.8,10.39,-2.233,1.432,1.519,0
434,18.49,129.35,-0.494,1.78,0.85,0
435,17.94,14.09,-0.513,1.698,0.789,0
436,13.9,106.67,-1.071,-0.174,0.094,0
437,2.99,27.95,-1.615,-0.355,1.862,0
438,9.73,16.22,-1.349,0.969,0.683,0
439,10.95,307.47,0.953,0.436,1.64,0
440,21.34,37.48,0.669,1.244,-2.767,0
441,10.57,9.18,-1.286,-1.135,-0.385,0
442,20.89,86.69,-3.514,0.822,-0.543,0
443,8.89,15.47,2.086,0.307,-1.776,0
444,17.48,88.06,-1.06,1.188,1.941,0
445,18.79,64.26,-0.18,0.075,-0.662,0
446,17.64,154.29,2.149,-0.551,-3.053,0
447,13.93,23.58,0.16,-0.616,-1.002,0
448,20.09,141.7,0.459,-0.507,-2.438,0
449,17.65,27.65,0.721,-0.891,0.717,0
450,23.2,41.61,0.458,1.697,-0.595,0
451,13.35,8.19,3.378,-1.073,0.618,0
452,6.05,139.64,-0.414,-0.289,-2.712,0
453,2.08,68.27,0.787,-0.513,-1.795,0
454,13.63,50.1,1.35,3.088,0.641,0
455,16.82,75.69,0.411,-0.623,1.152,0
456,12.09,38.11,0.574,-2.124,0.933,0
457,17.96,13.42,0.803,-0.086,-2.148,0
458,15.96,50.49,-1.582,0.564,-1.045,0
459,11.04,34.31,1.781,-0.631,1.612,0
460,16.57,16.27,0.71,-2.677,0.081,0
461,8.01,64.42,0.691,-0.777,0.561,0
462,12.26,108.59,-0.591,0.904,0.236,0
463,3.19,20.78,-1.009,0.249,-0.434,0
464,19.86,16.29,1.074,0.711,0.637,0
465,12.89,25.91,-1.448,1.01,-2.296,0
466,7.58,30.69,-2.213,0.387,3.113,0
467,7.5,8.63,0.65,2.06,-0.687,0
468,15.21,7.54,0.082,1.265,0.722,0
469,21.19,11.57,-0.802,-1.164,-1.406,0
470,0.1,44.1,1.053,-0.522,0.569,0
471,18.28,159.26,-1.766,0.767,-0.568,0
472,4.49,29.14,3.216,-0.039,1.632,0
473,9.87,16.6,0.385,1.39,0.78,0
474,16.12,26.16,-1.116,0.122,0.534,0
475,13.64,73.67,-0.576,-0.318,0.956,0
476,4.52,87.23,-0.483,-2.695,-0.371,0
477,15.27,15.5,0.017,0.797,0.326,0
478,20.78,47.12,0.442,-1.384,-1.0,0
479,22.83,40.83,1.348,-1.04,-0.565,0
480,11.98,198.64,-0.269,-0.289,-2.138,0
481,18.13,5.88,-0.357,0.732,0.299,0
482,16.99,87.68,-0.341,-1.537,0.023,0
483,20.58,34.6,0.641,-1.397,-0.086,0
484,16.43,291.13,-1.176,0.947,-2.328,0
485,11.93,85.66,-0.673,-1.796,2.406,0
486,13.1,8.18,0.603,0.46,-0.554,0
487,15.23,14.93,-2.02,-0.39,-1.004,0
488,17.46,6.17,0.678,0.054,0.646,0
489,7.29,46.2,1.791,1.447,-0.581,0
490,20.25,53.4,-0.306,0.054,0.265,0
491,20.53,15.96,0.729,-2.192,0.066,0
492,15.52,31.04,-2.094,-0.059,2.174,0
493,16.42,26.93,-0.718,-0.259,0.184,0
494,16.59,17.33,2.714,0.286,0.052,0
495,23.98,25.64,1.331,0.992,0.528,0
496,15.73,690.95,1.301,0.8,-1.233,0
497,17.63,85.97,-2.108,1.432,-0.523,0
498,21.09,131.74,1.25,0.556,-2.786,0
499,11.28,58.56,-0.475,0.554,-0.683,0
500,0.86,45.66,0.499,-0.346,-0.667,0
501,19.98,78.69,-0.189,-0.879,-1.75,0
502,19.12,8.87,2.222,1.555,1.181,0
503,17.44,23.11,-0.47,-0.444,1.542,0
504,8.07,75.71,-1.212,0.321,-0.302,0
505,0.41,45.26,-1.041,-0.082,2.364,0
506,20.85,27.15,1.649,-1.162,-2.08,0
507,10.66,20.12,1.224,0.233,-0.855,0
508,9.75,19.56,-1.708,-1.441,-0.185,0
509,11.43,69.89,-0.213,1.059,-1.132,0
510,17.81,59.42,-1.364,1.129,1.368,0
511,16.76,40.31,-0.187,0.413,1.663,0
512,10.14,259.84,-1.839,-1.948,0.965,0
513,13.79,48.2,2.519,2.005,1.747,0
514,16.42,3.21,-0.969,-1.753,0.247,0
515,9.63,13.98,-1.539,2.05,0.282,0
516,18.73,358.89,1.184,1.264,-2.067,0
517,18.97,22.72,1.155,0.087,0.109,0
518,14.7,50.65,-2.362,-0.459,-1.314,0
519,18.88,62.51,0.14,0.131,1.231,0
520,5.29,171.07,-0.102,0.488,-0.446,0
521,14.41,35.35,-0.558,1.183,-1.158,0
522,16.81,37.62,-1.352,-0.455,1.677,0
523,7.9,185.64,-0.666,-0.708,2.568,0
524,10.17,42.8,1.115,-0.186,0.443,0
525,11.07,149.34,1.517,0.554,0.685,0
526,7.53,853.95,-0.233,-0.001,0.024,0
527,20.04,40.29,-0.574,-0.767,0.821,0
528,14.75,2.9,2.318,1.268,0.494,0
529,14.8,155.09,-1.118,1.057,-0.978,0
530,0.98,55.4,1.603,0.038,0.061,0
531,20.22,27.4,-0.985,0.839,-0.844,0
532,8.95,97.5,-2.189,0.337,0.984,0
533,8.55,48.22,0.86,-1.961,-3.672,0
534,7.94,43.91,0.462,-0.43,-0.45,0
535,8.53,17.66,0.95,0.469,-0.526,0
536,17.43,22.3,-1.346,-2.024,2.051,0
537,20.26,16.2,1.088,0.627,1.004,0
538,19.89,33.92,-1.262,-0.038,-1.475,0
539,16.67,153.49,-2.481,-0.815,-2.959,0
540,15.58,15.86,-0.313,-0.729,-1.771,0
541,5.04,39.18,-0.122,0.762,1.559,0
542,9.9,44.3,2.337,1.953,1.443,0
543,3.82,29.6,0.922,-0.37,-0.688,0
544,14.42,31.08,-0.444,-0.126,-3.197,0
545,22.75,188.87,-0.486,1.13,0.744,0
546,12.2,15.03,-1.151,0.809,-1.006,0
547,1.72,82.41,3.054,-1.108,0.333,0
