CustomerID,Recency,Frequency,Monetary
CUST1200,100,2,698.4
CUST1201,10,26,8863.76
CUST1202,32,11,3481.65
CUST1203,153,2,620.5
CUST1204,23,13,1945.6
CUST1205,11,18,10107.28
CUST1206,42,4,3010.15
CUST1207,17,13,2801.17
CUST1208,19,7,4380.19
CUST1209,17,28,8088.16
CUST1210,115,4,430.52
CUST1211,110,1,300.78
CUST1212,47,11,3604.67
CUST1213,41,12,4559.33
CUST1214,10,20,7657.13
CUST1215,152,1,201.62
CUST1216,112,2,899.75
CUST1217,45,7,2479.81
CUST1218,110,1,617.09
CUST1219,12,22,6596.0
CUST1220,4,28,7675.98
CUST1221,14,25,8920.31
CUST1222,25,10,2402.49
CUST1223,9,23,
CUST1224,113,2,279.35
CUST1225,33,7,1558.24
CUST1226,32,8,2655.59
CUST1227,1,26,10730.42
CUST1228,42,10,2068.83
CUST1229,124,1,1306.26
CUST1230,30,11,1802.76
CUST1231,4,19,10764.54
CUST1232,136,2,93.8
CUST1233,16,17,12407.73
CUST1234,176,3,946.53
CUST1235,22,17,3396.07
CUST1236,15,18,9382.99
CUST1237,23,8,3213.92
CUST1238,38,13,3632.76
CUST1239,11,22,13118.72
CUST1240,103,3,61.62
CUST1241,26,10,3055.06
CUST1242,210,5,194.26
CUST1243,88,2,1172.08
CUST1244,16,24,6954.15
CUST1245,27,1,1818.69
CUST1246,12,26,7158.71
CUST1247,123,4,700.25
CUST1248,32,11,3679.19
CUST1249,36,7,2822.62
CUST1250,123,1,1051.49
CUST1251,14,27,13159.26
CUST1252,51,13,3538.5
CUST1253,9,34,8295.63
CUST1254,7,18,9895.78
CUST1255,133,3,583.77
CUST1256,18,10,4080.27
CUST1257,121,2,819.98
CUST1258,49,9,1925.46
CUST1259,7,21,6264.95
CUST1260,143,1,803.32
CUST1261,11,20,12434.93
CUST1262,7,19,10030.66
CUST1263,43,9,2317.26
CUST1264,42,11,5068.43
CUST1265,33,10,2690.5
CUST1266,75,2,905.39
CUST1267,5,19,7385.22
CUST1268,160,1,824.07
CUST1269,26,9,2637.28
CUST1270,1,22,10450.02
CUST1271,1,21,8721.48
CUST1272,5,21,6008.61
CUST1273,128,3,271.5
CUST1274,34,13,3310.16
CUST1275,7,17,9820.16
CUST1276,9,25,6763.48
CUST1277,152,2,842.78
CUST1278,6,16,8479.37
CUST1279,91,2,844.37
CUST1280,15,23,8527.07
CUST1281,106,3,990.88
CUST1282,32,9,2523.55
CUST1283,11,27,4269.68
CUST1284,128,1,50.0
CUST1285,38,9,3532.41
CUST1286,21,15,3299.6
CUST1287,32,14,3787.05
CUST1288,14,28,5771.12
CUST1289,18,20,10013.88
CUST1290,15,18,10072.23
CUST1291,14,22,10390.35
CUST1292,2,16,7429.66
CUST1293,12,41,9973.09
CUST1294,116,2,944.99
CUST1295,14,16,11330.64
CUST1296,35,11,1400.9
CUST1297,2,25,6258.76
CUST1298,12,24,9762.24
CUST1299,131,2,784.22
CUST1300,108,2,1528.81
CUST1301,46,11,3553.06
CUST1302,6,23,9055.55
CUST1303,148,1,50.0
CUST1304,7,25,13925.87
CUST1305,45,6,3002.86
CUST1306,25,8,2392.43
CUST1307,71,2,708.7
CUST1308,115,2,1259.99
CUST1309,36,8,3979.56
CUST1310,19,11,2502.9
CUST1311,95,2,1151.7
CUST1312,98,3,763.35
CUST1313,78,3,402.14
CUST1314,20,7,2545.63
CUST1315,13,18,12188.25
CUST1316,11,18,7997.98
CUST1317,37,3,1240.93
CUST1318,26,11,3361.25
CUST1319,121,2,50.0
CUST1320,8,13,11003.04
CUST1321,35,9,3558.95
CUST1322,38,10,3513.13
CUST1323,102,1,752.43
CUST1324,17,27,9114.44
CUST1325,41,8,3546.05
CUST1326,7,23,13104.7
CUST1327,14,29,8107.76
CUST1328,99,2,817.02
CUST1329,9,27,8509.05
CUST1330,161,3,315.26
CUST1331,41,8,4116.9
CUST1332,7,24,10482.28
CUST1333,37,1,688.37
CUST1334,9,27,9906.77
CUST1335,82,2,424.85
CUST1336,9,19,10127.42
CUST1337,21,6,1198.13
CUST1338,21,17,7945.04
CUST1339,4,19,8710.53
CUST1340,138,2,748.47
CUST1341,29,9,4295.75
CUST1342,35,10,1373.12
CUST1343,40,10,4358.79
CUST1344,1,22,9268.36
CUST1345,122,1,709.45
CUST1346,141,2,557.36
CUST1347,9,20,9540.38
CUST1348,28,3,4402.39
CUST1349,1,21,7108.5
CUST1350,32,6,3137.05
CUST1351,6,15,10003.2
CUST1352,48,10,3269.15
CUST1353,87,2,773.4
CUST1354,28,12,3129.61
CUST1355,12,19,8546.95
CUST1356,125,2,741.6
CUST1357,5,18,9382.18
CUST1358,63,3,730.95
CUST1359,35,7,3895.03
CUST1360,8,31,10118.24
CUST1361,20,11,2679.59
CUST1362,103,2,595.35
CUST1363,37,11,
CUST1364,97,1,391.52
CUST1365,12,26,12638.54
CUST1366,3,22,8984.89
CUST1367,8,22,8948.91
CUST1368,32,7,3503.36
CUST1369,45,14,2673.75
CUST1370,24,8,2395.23
CUST1371,45,6,3213.53
CUST1372,3,20,9737.82
CUST1373,17,18,10058.3
CUST1374,14,5,2412.71
CUST1375,7,24,10527.28
CUST1376,18,10,2140.47
CUST1377,173,2,676.97
CUST1378,9,22,9390.24
CUST1379,27,11,3385.47
CUST1380,42,9,3754.51
CUST1381,6,40,8106.75
CUST1382,30,12,4252.16
CUST1383,94,1,211.36
CUST1384,5,18,9087.72
CUST1385,45,12,2591.66
CUST1386,134,3,1051.59
CUST1387,33,7,3814.89
CUST1388,163,1,1214.59
CUST1389,52,8,1728.38
CUST1390,28,8,3618.11
CUST1391,18,16,5245.92
CUST1392,27,3,2986.5
CUST1393,39,13,3778.84
CUST1394,9,12,10293.87
CUST1395,143,2,711.4
CUST1396,36,8,2095.77
CUST1397,11,15,11894.56
CUST1398,25,10,2477.66
CUST1399,129,2,788.0
CUST1400,94,1,543.65
CUST1401,31,4,2512.36
CUST1402,18,9,2796.48
CUST1403,34,17,3275.34
CUST1404,129,3,585.87
CUST1405,7,26,11217.87
CUST1406,30,2,525.51
CUST1407,101,3,466.75
CUST1408,14,19,8627.57
CUST1409,13,18,9069.29
CUST1410,23,6,3779.86
CUST1411,135,1,271.42
CUST1412,194,1,365.0
CUST1413,133,1,516.63
CUST1414,14,27,9001.78
CUST1415,16,21,8924.29
CUST1416,34,8,3601.85
CUST1417,37,6,3289.88
CUST1418,29,7,3002.47
CUST1419,15,23,11637.56
CUST1420,50,9,2583.27
CUST1421,94,2,885.69
CUST1422,165,1,903.1
CUST1423,150,4,682.89
CUST1424,117,1,393.86
CUST1425,85,1,357.92
CUST1426,2,21,10064.08
CUST1427,141,2,945.63
CUST1428,15,14,8884.35
CUST1429,3,17,9708.94
CUST1430,33,13,4982.51
CUST1431,131,2,586.86
CUST1432,34,11,2482.76
CUST1433,40,8,4097.03
CUST1434,48,14,3006.03
CUST1435,78,1,544.98
CUST1436,76,1,527.45
CUST1437,5,25,12890.44
CUST1438,9,23,6567.46
CUST1439,36,7,2165.55
CUST1440,1,30,6507.62
CUST1441,22,9,3417.13
CUST1442,11,22,7811.84
CUST1443,42,9,1854.4
CUST1444,167,2,921.92
CUST1445,75,1,465.89
CUST1446,6,27,6507.82
CUST1447,11,17,10362.57
CUST1448,37,7,5167.78
CUST1449,34,12,1973.19
CUST1450,33,9,3294.27
CUST1451,8,18,3872.76
CUST1452,7,17,8983.44
CUST1453,14,33,10405.02
CUST1454,150,3,860.2
CUST1455,41,8,2886.53
CUST1456,38,14,3886.54
CUST1457,51,5,3424.41
CUST1458,39,11,1951.39
CUST1459,16,3,2830.07
CUST1460,58,10,2101.02
CUST1461,38,8,3346.53
CUST1462,106,1,488.65
CUST1463,141,2,1015.62
CUST1464,88,3,668.98
CUST1465,11,28,9279.56
CUST1466,38,11,3795.84
CUST1467,43,13,3694.98
CUST1468,8,34,9491.23
CUST1469,39,7,1263.56
CUST1470,6,22,10515.77
CUST1471,10,26,11346.89
CUST1472,151,2,686.02
CUST1473,33,6,4518.38
CUST1474,23,9,3439.45
CUST1475,1,26,8941.94
CUST1476,11,21,6811.63
CUST1477,11,23,11369.48
CUST1478,13,14,11557.68
CUST1479,14,26,10450.44
CUST1480,100,3,553.6
CUST1481,208,2,330.11
CUST1482,9,29,8551.38
CUST1483,1,30,10167.3
CUST1484,106,3,386.15
CUST1485,24,12,2774.88
CUST1486,41,9,3989.28
CUST1487,37,3,3852.01
CUST1488,8,27,9780.59
CUST1489,50,8,1387.12
CUST1490,32,11,2930.2
CUST1491,31,14,3100.98
CUST1492,153,2,228.56
CUST1493,6,21,10127.51
CUST1494,27,5,2322.89
CUST1495,106,1,486.88
CUST1496,20,24,8098.77
CUST1497,35,14,3817.3
CUST1498,34,5,1704.26
CUST1499,8,22,6641.66
CUST1500,81,2,50.0
CUST1501,18,9,3736.46
CUST1502,39,12,4651.72
CUST1503,148,2,1300.2
CUST1504,19,27,8108.65
CUST1505,133,1,562.59
CUST1506,1,20,11424.82
CUST1507,36,14,3240.6
CUST1508,36,8,3722.64
CUST1509,35,13,4697.87
CUST1510,12,17,10603.31
CUST1511,17,26,10126.18
CUST1512,45,13,899.65
CUST1513,167,3,811.89
CUST1514,105,2,849.91
CUST1515,21,11,3317.21
CUST1516,166,3,615.15
CUST1517,123,3,712.29
CUST1518,41,7,2129.61
CUST1519,7,15,8209.04
CUST1520,39,4,2146.77
CUST1521,14,20,9589.76
CUST1522,4,17,9061.97
CUST1523,171,3,165.62
CUST1524,135,3,875.49
CUST1525,23,9,
CUST1526,26,10,2578.31
CUST1527,23,8,4181.69
CUST1528,157,1,526.19
CUST1529,27,3,3800.4
CUST1530,51,14,2836.26
CUST1531,17,28,9007.38
CUST1532,10,20,10048.72
CUST1533,54,6,2186.18
CUST1534,15,23,6221.1
CUST1535,5,18,8532.36
CUST1536,39,12,3120.33
CUST1537,37,7,4185.86
CUST1538,17,21,8303.13
CUST1539,184,3,405.34
CUST1540,19,8,4349.46
CUST1541,30,9,2828.33
CUST1542,142,3,296.46
CUST1543,9,21,8526.16
CUST1544,4,27,9929.91
CUST1545,144,4,565.68
CUST1546,139,2,648.97
CUST1547,12,22,6935.28
CUST1548,168,2,332.29
CUST1549,1,22,10835.0
CUST1550,15,28,8972.71
CUST1551,14,15,9931.49
CUST1552,15,19,9369.7
CUST1553,37,10,4622.19
CUST1554,90,3,301.82
CUST1555,29,7,3202.02
CUST1556,8,25,9682.04
CUST1557,21,24,9205.5
CUST1558,12,25,9318.01
CUST1559,5,18,9981.84
CUST1560,44,11,3202.69
CUST1561,42,8,3514.84
CUST1562,18,28,12103.81
CUST1563,32,10,2370.81
CUST1564,15,20,7282.25
CUST1565,31,10,1289.93
CUST1566,22,12,3364.24
CUST1567,10,14,12508.74
CUST1568,46,11,2275.31
CUST1569,13,28,9063.94
CUST1570,9,20,10731.29
CUST1571,9,21,7033.3
CUST1572,73,3,1147.36
CUST1573,15,30,8676.21
CUST1574,121,2,624.74
CUST1575,53,5,2756.06
CUST1576,9,19,11161.91
CUST1577,16,13,4085.69
CUST1578,39,13,5386.37
CUST1579,128,3,792.88
CUST1580,13,20,8361.26
CUST1581,141,2,956.47
CUST1582,147,2,787.23
CUST1583,11,22,11712.48
CUST1584,36,10,1543.82
CUST1585,42,5,2942.26
CUST1586,19,31,8979.87
CUST1587,85,3,561.23
CUST1588,39,5,4298.96
CUST1589,170,1,449.94
CUST1590,29,12,1525.2
CUST1591,38,9,2582.43
CUST1592,14,13,7228.07
CUST1593,7,26,9066.27
CUST1594,28,11,2864.93
CUST1595,104,2,784.6
CUST1596,24,17,10201.57
CUST1597,10,21,12441.14
CUST1598,14,26,8902.36
CUST1599,28,10,3054.11
CUST1600,107,3,
CUST1601,7,27,9584.17
CUST1602,43,7,3951.0
CUST1603,29,13,4032.41
CUST1604,138,4,795.95
CUST1605,8,30,10375.24
CUST1606,17,23,11848.6
CUST1607,28,6,2068.98
CUST1608,44,4,1731.61
CUST1609,4,24,10558.19
CUST1610,100,3,791.74
CUST1611,49,12,2720.05
CUST1612,12,22,10613.84
CUST1613,39,10,3983.07
CUST1614,127,3,708.96
CUST1615,120,3,984.21
CUST1616,17,26,9414.11
CUST1617,131,2,172.89
CUST1618,5,30,9688.93
CUST1619,8,9,3491.69
CUST1620,24,16,4357.53
CUST1621,149,2,842.85
CUST1622,45,11,2743.9
CUST1623,12,23,10310.12
CUST1624,26,10,3342.31
CUST1625,12,24,7190.76
CUST1626,150,3,292.88
CUST1627,10,18,8945.64
CUST1628,16,25,13304.63
CUST1629,37,6,3421.53
CUST1630,1,32,10191.51
CUST1631,41,10,2539.66
CUST1632,35,7,2838.16
CUST1633,39,6,4757.79
CUST1634,91,3,484.47
CUST1635,23,10,3413.63
CUST1636,9,22,8489.58
CUST1637,12,20,9624.56
CUST1638,47,5,2724.48
CUST1639,7,18,7141.64
CUST1640,33,10,3119.49
CUST1641,2,25,10793.42
CUST1642,10,17,7992.01
CUST1643,178,4,794.68
CUST1644,93,3,704.93
CUST1645,18,19,10348.1
CUST1646,9,26,8373.52
CUST1647,147,2,385.68
CUST1648,41,10,1311.83
CUST1649,10,23,9837.28
CUST1650,55,7,3186.97
CUST1651,69,1,
CUST1652,9,21,10639.6
CUST1653,142,3,601.1
CUST1654,40,7,3523.3
CUST1655,12,19,3729.26
CUST1656,100,5,620.46
CUST1657,7,23,11497.13
CUST1658,38,8,2046.96
CUST1659,32,5,3514.89
CUST1660,18,27,8430.28
CUST1661,90,1,781.28
CUST1662,41,11,3499.65
CUST1663,4,12,11489.24
CUST1664,6,31,5690.18
CUST1665,4,17,9951.98
CUST1666,41,7,3722.41
CUST1667,3,19,7290.43
CUST1668,29,7,3456.28
CUST1669,222,1,583.26
CUST1670,140,2,1068.67
CUST1671,5,26,8053.2
CUST1672,14,23,9905.89
CUST1673,29,3,2188.0
CUST1674,42,8,3843.1
CUST1675,22,11,4086.59
CUST1676,13,10,4925.38
CUST1677,97,3,656.51
CUST1678,14,20,8075.77
CUST1679,8,20,8412.94
CUST1680,26,12,2664.2
CUST1681,4,17,10351.56
CUST1682,13,10,3829.92
CUST1683,48,8,2450.78
CUST1684,125,2,1040.32
CUST1685,121,2,
CUST1686,9,22,11608.22
CUST1687,10,29,11718.99
CUST1688,97,1,458.02
CUST1689,33,7,3825.07
CUST1690,13,28,9995.3
CUST1691,31,10,2379.19
CUST1692,36,7,4238.29
CUST1693,40,3,914.51
CUST1694,35,10,3383.54
CUST1695,159,4,653.11
CUST1696,51,7,3573.96
CUST1697,133,1,748.25
CUST1698,7,26,7901.29
CUST1699,1,15,9538.7
CUST1700,12,24,8127.49
CUST1701,144,1,583.72
CUST1702,15,21,6118.39
CUST1703,42,9,2851.94
CUST1704,48,7,3786.1
CUST1705,124,5,109.87
CUST1706,37,10,4187.16
CUST1707,8,19,11998.51
CUST1708,31,10,3151.74
CUST1709,12,15,8520.54
CUST1710,10,23,11468.66
CUST1711,40,11,3147.04
CUST1712,16,19,9322.49
CUST1713,75,1,903.69
CUST1714,34,3,3157.13
CUST1715,9,16,10090.96
CUST1716,112,2,930.81
CUST1717,7,27,9004.14
CUST1718,9,28,10168.4
CUST1719,108,2,712.08
CUST1720,3,25,9478.3
CUST1721,22,6,3969.93
CUST1722,4,33,7563.63
CUST1723,37,1,3124.9
CUST1724,30,10,3359.07
CUST1725,8,33,10849.65
CUST1726,6,24,4265.94
CUST1727,29,13,2672.42
CUST1728,36,5,3875.0
CUST1729,10,22,11112.79
CUST1730,51,11,1604.7
CUST1731,131,2,292.92
CUST1732,2,20,8870.41
CUST1733,116,1,680.65
CUST1734,11,20,10088.58
CUST1735,29,4,3140.35
CUST1736,43,17,1232.37
CUST1737,29,6,3387.44
CUST1738,26,9,4035.63
CUST1739,96,2,1117.46
CUST1740,43,4,5015.4
CUST1741,98,2,509.82
CUST1742,105,1,820.49
CUST1743,6,15,8384.41
CUST1744,118,1,873.05
CUST1745,27,11,4400.18
CUST1746,11,24,8604.65
CUST1747,6,12,9069.52
CUST1748,102,1,
CUST1749,50,10,4205.08
CUST1750,8,17,9536.5
CUST1751,31,5,4088.95
CUST1752,11,19,9775.15
CUST1753,33,11,4598.27
CUST1754,28,5,4404.34
CUST1755,59,7,2345.58
CUST1756,4,22,9626.34
CUST1757,9,26,7965.36
CUST1758,29,5,4415.9
CUST1759,151,3,387.58
CUST1760,159,2,856.2
CUST1761,41,8,3023.72
CUST1762,19,7,2972.75
CUST1763,23,9,4326.31
CUST1764,105,1,387.61
CUST1765,37,14,3328.03
CUST1766,121,1,743.1
CUST1767,13,20,9414.7
CUST1768,7,26,11861.64
CUST1769,12,24,9558.4
CUST1770,28,7,2819.14
CUST1771,123,2,947.13
CUST1772,42,13,3879.57
CUST1773,32,9,1728.26
CUST1774,18,19,8738.13
CUST1775,53,6,2631.85
CUST1776,34,7,3267.53
CUST1777,37,11,3091.92
CUST1778,13,20,10571.25
CUST1779,47,4,2988.85
CUST1780,37,3,
CUST1781,38,7,3893.27
CUST1782,35,9,2877.25
CUST1783,36,6,2730.87
CUST1784,143,2,798.02
CUST1785,35,8,2325.69
CUST1786,145,1,758.51
CUST1787,19,10,3534.95
CUST1788,29,4,3049.88
CUST1789,10,19,8269.18
CUST1790,14,21,8735.14
CUST1791,145,2,438.44
CUST1792,44,8,4016.47
CUST1793,7,24,11688.73
CUST1794,39,10,3591.48
CUST1795,145,2,780.38
CUST1796,113,4,386.85
CUST1797,144,1,807.37
CUST1798,159,1,1169.02
CUST1799,25,7,3479.59
CUST1800,5,27,10357.4
CUST1801,1,15,8196.04
CUST1802,12,17,8193.69
CUST1803,41,6,3451.18
CUST1804,79,3,1066.54
CUST1805,4,10,6478.28
CUST1806,148,1,954.72
CUST1807,80,1,607.25
CUST1808,45,8,2262.65
CUST1809,11,22,10341.9
CUST1810,9,19,9487.01
CUST1811,10,10,4267.06
CUST1812,40,6,1813.25
CUST1813,48,7,2987.38
CUST1814,11,19,9520.32
CUST1815,17,19,12857.14
CUST1816,131,2,922.03
CUST1817,146,3,807.17
CUST1818,102,4,597.88
CUST1819,95,3,835.16
CUST1820,34,9,3697.17
CUST1821,176,2,269.8
CUST1822,7,24,9100.27
CUST1823,28,11,3833.68
CUST1824,9,23,8324.62
CUST1825,29,8,1967.71
CUST1826,129,2,490.81
CUST1827,36,9,2506.47
CUST1828,101,1,1037.19
CUST1829,18,9,3896.3
CUST1830,4,17,7651.92
CUST1831,1,27,8913.3
CUST1832,4,18,9595.41
CUST1833,30,6,3528.53
CUST1834,90,1,657.7
CUST1835,6,22,
CUST1836,60,7,3671.16
CUST1837,90,1,564.47
CUST1838,30,7,3020.48
CUST1839,141,4,1196.49
CUST1840,117,4,1100.82
CUST1841,27,7,2939.13
CUST1842,52,8,2804.93
CUST1843,16,20,8852.24
CUST1844,39,9,855.83
CUST1845,76,2,158.02
CUST1846,15,21,9544.37
CUST1847,10,12,7823.6
CUST1848,4,22,11809.41
CUST1849,8,21,5615.75
CUST1850,7,20,8761.79
CUST1851,131,3,578.51
CUST1852,37,4,3541.29
CUST1853,33,3,3302.83
CUST1854,6,26,9925.91
CUST1855,9,29,8826.75
CUST1856,30,8,3114.05
CUST1857,24,10,3390.79
CUST1858,6,13,11296.85
CUST1859,46,11,3923.17
CUST1860,51,10,
CUST1861,112,1,619.75
CUST1862,8,24,12554.77
CUST1863,38,12,5020.83
CUST1864,52,9,2527.86
CUST1865,20,16,6109.37
CUST1866,14,12,1818.6
CUST1867,110,2,1018.5
CUST1868,3,22,9918.36
CUST1869,48,8,3384.92
CUST1870,8,27,11077.61
CUST1871,31,10,1818.85
CUST1872,120,1,508.97
CUST1873,45,15,3340.48
CUST1874,9,20,
CUST1875,9,27,12182.16
CUST1876,41,8,3847.12
CUST1877,98,1,979.8
CUST1878,54,13,2842.14
CUST1879,1,7,3720.01
CUST1880,107,3,
CUST1881,12,23,9874.82
CUST1882,76,2,712.99
CUST1883,30,5,2710.35
CUST1884,5,23,11135.05
CUST1885,128,2,577.26
CUST1886,11,12,9515.85
CUST1887,14,19,10628.35
CUST1888,2,22,9035.54
CUST1889,39,9,5141.69
CUST1890,1,14,8151.3
CUST1891,35,7,2523.23
CUST1892,2,15,7790.3
CUST1893,49,6,5622.11
CUST1894,15,20,10839.53
CUST1895,149,1,138.64
CUST1896,162,1,889.08
CUST1897,13,13,10538.93
CUST1898,40,13,3104.67
CUST1899,39,10,2923.2
CUST1563,32,10,2370.81
CUST1552,15,19,9369.7
CUST1439,36,7,2165.55
CUST1169,10,22,11756.75
CUST1152,41,9,2971.6
CUST1065,23,20,8521.75
CUST1099,26,12,3278.17
CUST1275,7,17,9820.16
