fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
5.41,0.829,0.092,1.39,0.067,15.3,80.7,0.9979,3.13,0.512,8.64,3
6.91,0.753,0.0,6.39,0.129,23.4,72.6,0.9963,3.31,0.713,10.02,5
5.15,0.511,0.297,5.13,0.021,12.1,32.3,0.9941,3.27,0.821,12.03,5
8.98,0.407,0.558,1.13,0.105,2.6,38.4,0.9978,3.43,0.534,9.09,4
6.69,0.756,0.0,1.98,0.131,35.5,91.5,0.9968,3.19,0.578,9.8,4
7.7,0.799,0.0,3.94,0.161,18.3,32.8,0.9936,3.36,0.705,9.76,4
8.77,0.965,0.601,1.9,0.054,4.5,20.9,0.9978,3.32,0.853,13.62,5
5.94,0.482,0.275,2.38,0.12,31.0,67.0,0.9996,3.41,0.546,8.9,5
5.28,0.571,0.457,3.99,0.162,32.7,51.6,0.9971,3.49,0.663,9.61,6
11.16,0.458,0.5,3.09,0.085,12.3,34.1,0.9996,3.28,0.72,9.7,5
5.01,0.703,0.229,1.35,0.101,16.1,29.6,0.9984,3.29,0.784,8.93,5
6.64,0.21,0.282,0.25,0.029,23.3,59.8,0.9966,3.33,0.508,10.95,7
8.96,0.629,0.161,2.76,0.073,14.6,44.6,0.9972,3.31,0.65,10.72,4
8.89,1.04,0.0,3.63,0.058,13.0,47.2,0.9991,3.46,0.568,10.79,5
7.54,0.56,0.4,4.27,0.148,3.9,19.6,0.9984,3.23,0.697,11.91,5
6.0,0.478,0.224,4.52,0.089,28.6,45.4,0.9971,3.17,0.501,9.59,5
10.33,0.504,0.741,2.75,0.102,7.0,53.3,0.9935,3.27,0.593,10.83,5
9.28,0.332,0.019,2.2,0.087,0.4,42.0,0.9961,3.42,0.775,10.99,5
8.12,0.346,0.431,2.85,0.087,30.5,84.3,0.9987,3.54,0.937,10.73,6
8.03,0.564,0.29,4.14,0.132,17.7,45.4,0.9974,3.17,0.73,9.44,5
9.82,0.695,0.414,2.52,0.07,14.5,51.1,1.0012,3.57,0.687,9.86,4
10.49,0.468,0.125,0.49,0.077,2.9,34.1,0.9951,3.1,0.973,12.74,8
8.48,0.492,0.334,1.14,0.081,8.1,64.9,0.996,3.49,0.278,11.1,5
8.39,0.608,0.596,4.99,0.07,2.8,58.6,0.9948,3.18,0.747,10.54,5
9.51,0.4,0.104,1.95,0.04,21.4,40.1,0.9952,3.48,0.462,8.65,5
4.11,0.1,0.713,4.77,0.02,12.3,54.6,0.9936,3.28,0.663,8.6,6
11.18,0.564,0.497,3.37,0.077,36.1,49.0,1.0011,3.27,0.974,10.11,6
6.18,0.553,0.195,1.59,0.154,13.9,56.6,0.9958,3.31,0.558,9.81,4
7.97,0.396,0.311,3.77,0.084,12.8,70.2,0.9967,3.29,1.054,9.41,4
9.31,0.413,0.071,5.01,0.185,24.2,55.5,0.9947,3.32,1.031,10.87,6
8.02,0.694,0.333,2.26,0.055,1.3,39.8,0.998,3.4,0.791,10.93,6
10.46,0.721,0.088,1.35,0.047,27.8,40.4,0.9957,3.31,0.813,10.99,5
11.83,0.783,0.314,1.63,0.097,29.8,73.6,0.994,3.11,0.58,10.32,5
8.39,0.193,0.442,3.3,0.092,17.3,77.9,0.9983,3.39,0.868,11.02,6
9.56,0.512,0.444,2.07,0.073,6.9,25.5,0.9932,3.46,0.926,10.0,6
9.33,0.88,0.284,4.18,0.149,10.0,13.6,0.996,3.57,0.89,8.82,4
10.37,0.645,0.23,2.62,0.042,17.9,44.8,0.9976,3.18,0.536,10.11,5
8.3,0.263,0.232,4.42,0.14,22.0,53.3,0.997,3.22,0.373,8.89,4
8.05,0.364,0.128,4.12,0.074,10.7,31.5,0.9978,3.24,0.553,11.83,6
7.85,0.689,0.34,2.35,0.124,29.5,82.8,0.9978,3.38,0.775,10.06,5
8.49,0.699,0.317,4.06,0.126,10.0,33.0,0.9943,3.13,0.741,9.83,4
10.03,0.448,0.587,2.46,0.143,1.9,39.2,0.9966,3.38,0.81,11.66,5
6.35,0.484,0.387,2.8,0.052,30.6,82.1,0.9967,3.25,0.504,9.62,5
9.63,0.206,0.202,5.13,0.086,22.5,44.4,0.9965,3.4,0.749,9.46,5
8.0,0.913,0.693,4.09,0.057,10.2,36.5,0.9982,3.28,0.323,9.83,5
7.72,0.549,0.566,1.92,0.067,20.3,41.3,0.997,3.22,0.496,12.46,5
5.1,0.672,0.488,0.31,0.143,13.7,26.5,0.999,3.22,1.06,11.96,5
6.61,0.632,0.0,0.02,0.083,29.0,30.0,0.9944,3.4,0.702,11.8,6
10.04,0.368,0.299,2.38,0.084,30.7,67.0,0.994,3.25,0.62,8.5,4
7.22,1.028,0.343,2.85,0.016,17.7,40.8,1.0008,3.13,0.426,10.64,5
10.86,0.646,0.482,1.16,0.006,0.0,55.0,0.9973,3.48,0.503,10.78,5
6.57,0.742,0.274,1.3,0.033,27.9,63.3,0.9988,3.43,0.895,9.91,4
5.84,0.752,0.65,3.54,0.049,3.9,39.2,0.9965,3.31,0.345,12.91,5
8.67,0.762,0.193,1.56,0.144,4.2,33.1,0.9957,3.35,0.587,11.13,4
6.38,0.68,0.109,4.05,0.067,21.0,41.3,0.9953,3.25,0.438,10.21,5
9.05,0.662,0.158,1.02,0.131,7.3,53.9,0.9959,3.06,0.554,10.6,4
10.0,0.544,0.144,3.09,0.073,21.1,58.0,0.9964,3.29,0.474,10.06,5
9.04,0.736,0.262,2.0,0.003,11.5,36.5,0.9946,3.29,0.776,9.78,5
8.25,0.484,0.298,2.74,0.051,1.2,31.5,0.998,3.29,0.578,13.01,6
6.54,0.656,0.338,4.06,0.126,20.5,49.4,0.9956,2.96,0.364,12.04,4
9.13,0.376,0.562,2.58,0.021,9.8,40.7,0.9977,3.34,0.612,9.15,5
9.11,0.503,0.461,3.31,0.11,12.9,41.0,0.9991,3.25,0.971,8.5,5
7.79,0.653,0.209,1.27,0.105,16.8,35.2,0.994,3.21,0.389,10.84,4
7.98,0.605,0.116,3.79,0.082,6.1,38.7,0.9946,3.09,0.673,11.72,6
7.23,0.27,0.451,1.08,0.046,0.1,41.0,0.9949,3.39,0.541,10.51,5
8.63,0.435,0.267,3.29,0.078,24.7,45.5,0.9971,3.08,0.509,10.07,4
8.37,0.648,0.429,2.61,0.075,23.5,32.6,0.9959,3.48,0.765,10.94,5
7.92,0.551,0.465,0.33,0.109,1.3,35.1,0.9954,3.24,0.364,9.31,4
9.04,0.727,0.113,1.74,0.059,19.7,33.4,0.9942,3.19,0.664,8.86,5
9.33,0.59,0.2,5.04,0.009,7.6,54.3,0.9971,3.17,0.511,11.85,6
8.91,0.562,0.383,0.03,0.086,5.0,46.0,0.9993,3.43,0.506,10.61,5
8.4,0.425,0.409,1.8,0.136,15.0,55.8,0.9966,3.29,0.888,11.45,6
7.9,0.439,0.0,2.45,0.054,23.4,65.6,0.9981,3.41,0.597,9.98,6
9.79,0.561,0.233,3.23,0.147,22.9,36.6,0.9959,3.37,0.34,8.5,4
8.4,0.383,0.445,2.68,0.136,13.5,17.8,0.9939,3.53,0.551,10.43,4
10.22,0.49,0.225,4.65,0.039,6.8,56.3,0.9953,3.21,0.802,9.1,5
9.3,1.05,0.227,3.06,0.127,32.9,65.4,0.9982,3.44,0.68,10.89,4
11.28,0.357,0.176,4.08,0.136,39.1,61.1,1.0,3.18,0.519,10.46,5
8.32,0.614,0.436,1.43,0.009,7.6,60.9,0.9953,2.97,0.693,9.83,5
8.25,0.43,0.038,4.4,0.103,5.7,7.7,0.9977,3.49,0.791,10.55,5
9.16,0.754,0.342,2.05,0.009,25.5,40.6,0.9967,3.3,0.751,9.22,5
9.02,0.399,0.249,1.14,0.049,10.5,19.1,0.9968,3.37,0.574,8.5,3
8.37,0.377,0.333,3.42,0.157,7.0,26.0,0.9955,3.58,0.741,10.43,6
8.58,0.486,0.011,2.11,0.146,4.2,51.6,0.9971,3.44,0.742,10.44,5
9.57,0.471,0.0,0.53,0.092,10.6,55.9,0.9975,3.29,0.699,9.98,4
8.48,0.736,0.456,5.18,0.063,35.8,95.3,0.9963,3.53,0.757,9.73,5
6.09,0.584,0.207,2.37,0.1,10.4,39.3,0.9974,3.31,0.631,11.33,6
6.91,0.54,0.529,3.47,0.145,14.0,42.5,0.9951,3.56,0.728,10.71,6
11.02,0.468,0.236,3.62,0.061,31.6,54.2,0.9934,3.28,0.666,9.48,4
7.27,0.288,0.324,1.34,0.043,8.5,28.8,1.0009,3.25,0.409,10.84,5
8.14,0.776,0.151,1.55,0.071,28.3,62.0,0.998,3.25,0.75,10.31,5
7.86,0.607,0.173,1.01,0.11,17.6,36.0,0.9947,3.7,0.802,12.24,6
7.85,0.604,0.17,1.32,0.073,7.5,51.3,0.9973,3.25,0.485,10.83,5
8.34,0.814,0.155,0.57,0.084,10.8,13.7,0.9986,3.5,0.919,9.97,6
10.2,0.804,0.092,3.02,0.14,18.7,59.8,0.9958,3.31,0.782,11.03,5
8.45,0.858,0.0,2.61,0.13,25.3,65.0,0.9957,3.26,0.832,9.62,3
7.63,0.62,0.068,3.61,0.05,21.3,40.8,0.9946,3.32,0.782,11.16,5
8.51,0.515,0.453,3.66,0.083,25.1,31.0,0.9991,3.21,0.59,9.85,6
9.34,0.311,0.313,3.62,0.056,18.8,47.7,0.998,3.06,0.886,12.11,7
5.59,0.637,0.146,2.84,0.068,13.5,45.4,0.9973,3.3,0.608,8.6,5
11.18,0.583,0.043,4.73,0.001,8.4,19.6,0.9955,3.34,0.53,8.84,4
6.19,0.619,0.255,2.6,0.012,40.1,75.4,0.995,3.2,0.703,10.88,5
8.85,0.483,0.472,1.2,0.109,11.5,35.3,1.0008,3.21,0.966,9.91,6
10.81,0.329,0.0,2.69,0.098,29.7,46.5,0.9976,3.27,0.448,9.1,4
9.91,0.308,0.172,4.99,0.075,25.3,59.2,0.9985,3.56,0.726,10.86,5
10.41,0.275,0.251,3.79,0.045,8.1,14.6,0.9996,3.63,0.652,9.63,6
9.53,0.579,0.233,5.76,0.095,12.0,21.6,0.9951,3.17,0.522,10.27,5
7.82,0.506,0.461,3.69,0.033,18.1,70.6,0.9985,3.33,0.625,11.04,7
12.06,0.442,0.354,1.46,0.072,10.2,26.6,0.9937,3.08,0.731,11.55,5
14.65,0.268,0.394,2.89,0.167,17.0,51.7,0.998,3.3,0.65,9.46,5
9.75,0.294,0.392,0.13,0.075,19.4,35.7,0.9947,3.02,0.335,11.32,7
9.14,0.522,0.368,0.24,0.052,8.4,42.9,0.9959,3.55,0.424,9.19,4
8.95,0.259,0.011,3.22,0.067,0.1,10.6,1.0006,3.46,0.484,9.85,4
8.91,0.652,0.319,2.87,0.107,5.1,33.4,0.9997,3.44,0.726,8.5,5
8.65,0.499,0.087,1.5,0.015,25.3,60.1,0.9971,3.23,0.504,9.8,5
10.55,0.606,0.047,0.55,0.144,13.0,48.4,0.9963,3.5,0.417,11.0,4
7.65,0.467,0.268,0.1,0.097,31.0,58.8,0.9973,3.26,0.479,10.92,5
11.32,0.467,0.208,3.34,0.115,12.5,23.9,0.9988,3.08,0.702,10.25,5
7.23,0.562,0.441,2.58,0.041,36.5,53.4,0.998,3.37,0.525,11.77,7
6.23,0.451,0.454,3.4,0.058,1.8,21.0,0.9988,3.4,0.608,11.52,6
7.81,0.526,0.211,2.57,0.197,11.5,14.6,1.001,3.04,0.235,10.28,4
8.73,0.505,0.599,1.48,0.108,4.7,51.2,0.9941,3.12,0.737,8.68,4
7.93,0.642,0.416,4.63,0.13,14.5,57.1,0.9987,3.23,0.721,10.69,5
8.86,0.431,0.467,0.37,0.134,1.4,23.1,0.9961,3.33,0.752,10.74,4
7.75,0.815,0.248,1.34,0.097,15.7,60.9,0.9938,3.23,0.83,12.54,4
7.39,0.445,0.21,1.42,0.048,14.3,42.7,0.9959,3.07,0.671,9.39,5
7.86,0.1,0.51,0.06,0.09,21.0,98.9,1.0007,3.39,0.449,11.79,5
6.57,0.455,0.0,4.76,0.09,30.4,48.8,0.9982,3.28,0.376,8.5,5
7.18,0.347,0.686,3.12,0.092,17.1,51.3,0.999,3.3,0.725,12.34,6
7.69,0.589,0.288,3.63,0.075,7.9,59.3,0.9953,3.03,0.536,10.27,4
5.16,0.766,0.258,4.32,0.115,11.9,83.9,0.9978,3.39,0.493,11.6,5
11.09,0.793,0.484,4.05,0.028,13.3,42.6,0.9938,3.58,0.698,10.21,5
4.83,0.616,0.553,0.97,0.104,21.7,45.6,0.9999,3.63,0.461,11.59,4
7.87,0.827,0.134,3.33,0.083,26.0,44.7,0.9959,3.3,0.626,9.77,4
9.06,0.348,0.448,0.14,0.123,32.7,61.1,0.9959,3.36,0.433,10.29,5
8.45,0.464,0.365,4.27,0.087,14.2,54.3,0.9998,3.25,0.483,10.04,5
10.23,0.502,0.0,0.41,0.01,26.2,79.5,0.9983,3.05,0.914,10.45,5
8.85,0.536,0.55,5.8,0.052,9.9,36.5,0.9994,2.99,0.891,11.05,5
7.53,0.238,0.0,2.63,0.025,17.8,55.9,0.9956,3.1,0.46,8.87,4
8.94,0.255,0.153,5.03,0.113,7.5,41.9,0.9937,3.31,0.442,9.23,5
9.97,0.614,0.313,3.13,0.077,21.1,52.4,0.998,3.32,0.694,10.81,5
10.97,0.533,0.424,1.3,0.098,9.7,54.4,0.9978,3.04,0.464,10.57,5
8.18,0.728,0.271,0.81,0.111,12.6,38.3,0.9974,3.47,0.344,11.62,4
9.84,0.295,0.205,3.16,0.1,24.8,53.2,0.9958,3.29,0.607,10.72,5
8.59,0.588,0.296,0.4,0.052,14.5,75.5,0.9984,3.13,0.687,10.92,5
6.32,0.362,0.154,3.69,0.044,26.4,46.3,0.9978,3.45,0.577,9.54,5
4.83,0.577,0.303,1.23,0.086,19.3,63.7,0.9965,3.19,0.765,9.59,6
7.04,0.599,0.242,0.98,0.082,11.8,52.9,1.0001,3.62,0.548,12.19,5
6.44,0.348,0.25,1.14,0.114,15.8,36.3,0.9945,3.06,0.549,10.14,6
4.25,0.713,0.085,2.92,0.062,13.3,49.2,0.9976,3.35,0.72,9.9,4
8.5,0.617,0.547,2.18,0.076,6.8,18.5,0.9955,3.35,0.749,10.33,6
9.52,0.631,0.464,5.15,0.053,23.6,80.9,0.9938,3.31,0.692,10.08,7
