Area_sqft,Bedrooms,Bathrooms,Age_years,Location,Price
1963.0,4,3.0,13.0,Suburb,333458.0
1921.0,5,2.0,2.1,Suburb,348757.0
1567.0,3,1.0,31.6,Suburb,239450.0
2815.0,4,3.0,28.1,Rural,379398.0
2306.0,4,2.0,41.0,Suburb,359062.0
1493.0,4,1.0,27.3,Suburb,244910.0
1643.0,4,2.0,44.3,Suburb,245187.0
1227.0,2,2.0,40.1,Suburb,244459.0
2064.0,3,1.0,11.5,Suburb,342116.0
1015.0,4,3.0,16.0,Suburb,226942.0
1617.0,1,1.0,18.3,Downtown,310921.0
2211.0,4,3.0,5.4,Rural,342516.0
2108.0,3,1.0,26.5,Waterfront,393251.0
2116.0,4,2.0,26.9,Suburb,320659.0
1151.0,3,2.0,32.1,Waterfront,272192.0
2221.0,3,2.0,3.0,Downtown,378247.0
1726.0,3,4.0,23.2,Rural,252902.0
2529.0,3,2.0,31.7,Rural,343587.0
1648.0,2,2.0,28.8,Suburb,265052.0
2724.0,1,2.0,31.5,Rural,328149.0
2028.0,3,2.0,34.2,Rural,275565.0
2211.0,3,2.0,35.3,Downtown,348083.0
1584.0,2,2.0,22.2,Downtown,278469.0
1577.0,3,4.0,6.4,Suburb,279728.0
1588.0,2,4.0,19.9,Downtown,319745.0
2350.0,4,2.0,18.4,Downtown,367409.0
1554.0,3,3.0,17.4,Suburb,273135.0
1736.0,3,1.0,36.9,Downtown,297760.0
2443.0,5,4.0,10.3,Waterfront,458723.0
2084.0,2,1.0,44.0,Rural,260927.0
1658.0,4,2.0,14.8,Suburb,295154.0
1957.0,3,2.0,18.5,Waterfront,371529.0
1027.0,4,4.0,37.6,Downtown,231077.0
970.0,2,2.0,44.4,Rural,139190.0
2039.0,3,4.0,12.7,Rural,305178.0
3315.0,4,4.0,6.8,Rural,459630.0
2906.0,4,2.0,44.8,Rural,388271.0
3186.0,2,1.0,15.1,Downtown,465216.0
2114.0,4,3.0,38.2,Suburb,325002.0
1510.0,4,2.0,5.0,Waterfront,334514.0
2388.0,2,3.0,8.7,Suburb,357645.0
1143.0,2,3.0,22.1,Suburb,211817.0
400.0,3,3.0,26.0,Suburb,134830.0
2033.0,3,2.0,37.4,Suburb,299906.0
2368.0,2,1.0,20.8,Rural,300248.0
2188.0,2,2.0,20.6,Suburb,362132.0
2653.0,4,4.0,14.0,Waterfront,456507.0
2221.0,3,1.0,15.9,Rural,344837.0
1990.0,2,2.0,25.2,Downtown,321193.0
1220.0,4,1.0,8.5,Rural,215304.0
1729.0,5,3.0,0.2,Rural,307480.0
1150.0,3,3.0,19.5,Waterfront,280496.0
1597.0,4,3.0,9.9,Suburb,294468.0
2847.0,4,3.0,28.4,Downtown,453433.0
1916.0,5,1.0,31.4,Suburb,317764.0
2007.0,4,1.0,18.9,Suburb,309170.0
1418.0,3,1.0,36.9,Rural,188593.0
3232.0,5,2.0,20.4,Waterfront,571207.0
709.0,4,3.0,10.7,Suburb,178524.0
1290.0,2,3.0,27.7,Downtown,263678.0
2320.0,5,2.0,11.6,Rural,354046.0
1387.0,4,3.0,13.9,Rural,232327.0
1363.0,2,2.0,2.1,Suburb,233219.0
2080.0,2,4.0,16.0,Downtown,372599.0
2212.0,4,1.0,20.8,Downtown,351394.0
2175.0,4,2.0,15.4,Waterfront,432504.0
1329.0,3,,7.2,Waterfront,336283.0
2214.0,3,2.0,15.6,Downtown,381778.0
1135.0,3,2.0,3.6,Rural,206649.0
1295.0,3,2.0,28.7,Downtown,251237.0
1252.0,4,1.0,5.6,Suburb,238529.0
1980.0,3,1.0,1.5,Rural,273706.0
1606.0,5,3.0,24.3,Downtown,331679.0
1277.0,2,3.0,7.6,Rural,222878.0
1817.0,4,1.0,19.7,Rural,261897.0
1237.0,3,2.0,40.7,Suburb,207628.0
1522.0,3,2.0,14.3,Suburb,276927.0
1628.0,4,4.0,35.9,Downtown,317192.0
1488.0,2,2.0,6.1,Suburb,279370.0
1247.0,1,2.0,13.7,Suburb,199192.0
1114.0,3,2.0,20.6,Downtown,234340.0
2404.0,4,3.0,8.7,Suburb,394128.0
663.0,2,2.0,12.9,Rural,119536.0
1964.0,2,3.0,36.3,Suburb,303899.0
1357.0,2,3.0,8.3,Waterfront,328426.0
1411.0,2,3.0,34.6,Downtown,268538.0
819.0,3,2.0,8.3,Suburb,162427.0
1783.0,2,3.0,31.7,Suburb,267604.0
1495.0,2,1.0,23.1,Rural,192008.0
2382.0,3,3.0,37.3,Downtown,368850.0
1489.0,3,4.0,2.1,Rural,259830.0
1201.0,5,2.0,25.8,Suburb,233446.0
1139.0,3,1.0,26.0,Suburb,215245.0
2326.0,3,2.0,30.3,Suburb,345260.0
2112.0,4,1.0,40.1,Rural,308319.0
1608.0,2,2.0,35.0,Waterfront,324687.0
2712.0,3,1.0,11.9,Downtown,444699.0
1946.0,4,2.0,11.6,Downtown,380581.0
1638.0,3,2.0,5.9,Suburb,267209.0
2085.0,3,2.0,4.2,Waterfront,410763.0
1194.0,3,2.0,27.1,Suburb,229241.0
1855.0,3,3.0,12.3,Downtown,353068.0
1177.0,3,2.0,27.5,Downtown,263583.0
2117.0,3,1.0,0.5,Rural,304743.0
2148.0,5,3.0,1.1,Rural,319741.0
1740.0,3,3.0,28.3,Rural,269334.0
2392.0,2,2.0,20.5,Suburb,371911.0
1413.0,3,2.0,2.7,Suburb,283069.0
2096.0,2,2.0,17.3,Downtown,352855.0
1732.0,2,1.0,25.6,Downtown,300551.0
1165.0,5,2.0,37.4,Suburb,238866.0
2178.0,4,4.0,21.5,Rural,313251.0
2734.0,2,2.0,14.5,Suburb,418463.0
3502.0,3,3.0,2.9,Waterfront,580610.0
1851.0,3,2.0,17.7,Suburb,300055.0
2064.0,2,3.0,23.4,Waterfront,398692.0
2740.0,2,2.0,41.9,Downtown,406935.0
1223.0,2,3.0,2.3,Downtown,270449.0
2634.0,4,2.0,42.6,Waterfront,467683.0
887.0,4,3.0,13.6,Downtown,238803.0
1164.0,3,3.0,37.7,Downtown,267670.0
1677.0,2,1.0,25.9,Waterfront,324634.0
1589.0,2,2.0,13.8,Suburb,250119.0
2332.0,4,2.0,16.7,Downtown,410588.0
1213.0,3,2.0,10.9,Suburb,234483.0
1730.0,3,2.0,12.6,Downtown,342876.0
1608.0,1,,8.1,Suburb,291410.0
1890.0,3,1.0,12.1,Suburb,306628.0
2137.0,2,2.0,33.6,Suburb,285482.0
2313.0,2,2.0,39.3,Downtown,372078.0
1977.0,4,2.0,41.5,Suburb,255197.0
2011.0,5,3.0,24.4,Downtown,365426.0
1828.0,4,3.0,34.5,Waterfront,377340.0
941.0,3,3.0,10.1,Downtown,241439.0
795.0,3,1.0,28.0,Suburb,166792.0
1998.0,2,2.0,18.1,Suburb,314882.0
1037.0,2,3.0,43.9,Suburb,179735.0
1366.0,3,1.0,0.4,Rural,246379.0
1920.0,3,2.0,27.3,Suburb,298195.0
1607.0,4,2.0,29.7,Suburb,278878.0
1361.0,5,3.0,0.3,Downtown,337913.0
1303.0,2,4.0,43.9,Downtown,241127.0
1821.0,4,4.0,34.0,Suburb,331680.0
2607.0,3,3.0,15.6,Rural,395344.0
866.0,2,4.0,5.0,Downtown,251836.0
1665.0,4,1.0,17.9,Suburb,268682.0
2329.0,3,3.0,23.5,Rural,312836.0
1945.0,4,1.0,32.4,Downtown,347923.0
1471.0,3,1.0,6.2,Suburb,290913.0
1818.0,3,2.0,16.4,Suburb,318221.0
2025.0,2,3.0,35.7,Rural,284657.0
2359.0,2,1.0,13.3,Downtown,397884.0
921.0,3,2.0,28.0,Rural,139842.0
1326.0,4,2.0,38.2,Waterfront,293475.0
1952.0,4,2.0,31.0,Waterfront,380202.0
2038.0,3,3.0,42.4,Suburb,325350.0
1934.0,2,1.0,1.3,Downtown,342047.0
2026.0,3,3.0,37.5,Rural,276486.0
2286.0,3,2.0,31.8,Suburb,366530.0
2052.0,3,1.0,5.6,Downtown,344361.0
3213.0,4,2.0,36.1,Downtown,491056.0
1429.0,4,3.0,35.8,Downtown,256410.0
1604.0,3,1.0,24.9,Suburb,249719.0
1002.0,4,3.0,4.5,Downtown,271354.0
2128.0,4,2.0,9.9,Suburb,347477.0
1932.0,4,2.0,33.6,Suburb,320540.0
1714.0,1,2.0,43.9,Waterfront,312568.0
1169.0,4,1.0,12.9,Suburb,229792.0
2880.0,1,2.0,32.4,Rural,371024.0
2030.0,2,2.0,17.6,Suburb,292490.0
2254.0,1,2.0,40.2,Suburb,334049.0
1060.0,5,2.0,16.4,Suburb,217095.0
1984.0,3,2.0,15.9,Suburb,322094.0
2075.0,2,1.0,29.8,Suburb,316960.0
2749.0,4,2.0,40.4,Downtown,427111.0
2124.0,2,3.0,27.8,Suburb,343386.0
2389.0,2,2.0,2.4,Rural,321560.0
945.0,5,2.0,13.4,Suburb,231895.0
1686.0,2,3.0,18.7,Downtown,298605.0
1848.0,2,3.0,9.1,Downtown,349603.0
1747.0,3,2.0,15.5,Downtown,354525.0
1643.0,3,2.0,16.0,Downtown,308179.0
1628.0,4,2.0,19.5,Waterfront,343196.0
2516.0,4,2.0,35.7,Suburb,390551.0
1568.0,3,2.0,23.5,Suburb,293802.0
2207.0,2,4.0,36.0,Downtown,332753.0
2182.0,4,3.0,8.8,Rural,311650.0
1605.0,4,2.0,20.2,Suburb,271014.0
1878.0,5,2.0,16.5,Suburb,284958.0
492.0,3,4.0,11.5,Suburb,130793.0
1466.0,4,1.0,0.2,Downtown,310028.0
2402.0,3,2.0,25.1,Rural,318668.0
1453.0,2,3.0,40.2,Downtown,296839.0
669.0,3,2.0,31.2,Suburb,162379.0
2335.0,3,2.0,24.3,Rural,338324.0
1087.0,2,,9.0,Waterfront,273921.0
2543.0,4,2.0,9.5,Downtown,429710.0
1780.0,1,3.0,43.7,Suburb,261799.0
1085.0,4,4.0,8.2,Suburb,246136.0
1421.0,4,3.0,30.0,Rural,216973.0
2658.0,3,2.0,4.9,Rural,402901.0
1901.0,2,2.0,15.9,Rural,284157.0
1753.0,3,3.0,21.3,Rural,260836.0
1887.0,4,1.0,32.6,Rural,302070.0
1704.0,3,3.0,37.5,Downtown,293158.0
1444.0,3,2.0,9.6,Downtown,288293.0
2142.0,3,3.0,7.6,Waterfront,425119.0
2607.0,2,2.0,30.7,Rural,353791.0
1847.0,1,2.0,0.4,Rural,277158.0
2672.0,5,2.0,14.7,Rural,369731.0
2410.0,4,2.0,4.1,Rural,359477.0
964.0,2,4.0,11.0,Suburb,212859.0
2186.0,1,3.0,38.1,Suburb,286758.0
2535.0,5,2.0,33.1,Downtown,426146.0
689.0,1,3.0,29.8,Downtown,162242.0
1488.0,5,1.0,12.2,Downtown,354579.0
2050.0,3,2.0,27.4,Suburb,309912.0
1307.0,2,2.0,35.1,Downtown,260332.0
1793.0,4,1.0,13.6,Suburb,280322.0
1605.0,3,2.0,26.0,Suburb,262925.0
1254.0,4,1.0,22.3,Suburb,240780.0
1686.0,3,2.0,39.0,Rural,238575.0
1520.0,2,2.0,2.7,Rural,268049.0
1717.0,4,3.0,13.5,Rural,282983.0
1721.0,2,3.0,26.1,Suburb,246672.0
1360.0,2,3.0,15.7,Downtown,260573.0
1292.0,2,3.0,37.3,Rural,173387.0
1392.0,5,1.0,34.0,Downtown,301749.0
1999.0,5,1.0,42.4,Rural,293880.0
1170.0,3,2.0,13.7,Waterfront,288687.0
2471.0,3,3.0,15.9,Downtown,432427.0
1237.0,5,3.0,3.7,Suburb,268035.0
2771.0,4,2.0,2.3,Downtown,459193.0
1598.0,3,3.0,44.5,Suburb,267402.0
1478.0,3,2.0,15.6,Suburb,262698.0
1437.0,2,2.0,44.3,Rural,173738.0
1994.0,3,3.0,31.1,Suburb,308788.0
1829.0,3,2.0,5.7,Downtown,346620.0
1237.0,4,4.0,31.7,Suburb,229149.0
1840.0,3,4.0,3.3,Downtown,409793.0
2009.0,3,3.0,1.7,Downtown,369750.0
1858.0,5,1.0,6.1,Waterfront,422121.0
2468.0,3,3.0,31.3,Downtown,426772.0
400.0,2,4.0,17.4,Waterfront,194358.0
1634.0,3,1.0,4.3,Downtown,301458.0
1410.0,4,1.0,21.8,Downtown,310693.0
2015.0,2,2.0,42.1,Suburb,305157.0
2827.0,3,1.0,1.2,Rural,400941.0
1006.0,1,2.0,7.5,Suburb,193358.0
1308.0,3,4.0,6.6,Suburb,264121.0
1643.0,3,4.0,9.5,Downtown,327811.0
2297.0,4,2.0,5.6,Suburb,358428.0
2356.0,2,3.0,36.8,Rural,313406.0
1388.0,4,2.0,17.1,Suburb,248488.0
2258.0,3,1.0,24.7,Rural,282601.0
1758.0,3,2.0,20.5,Downtown,321187.0
2357.0,3,2.0,13.6,Downtown,412962.0
1841.0,2,4.0,23.8,Rural,271402.0
2102.0,1,2.0,9.0,Downtown,370438.0
1811.0,2,1.0,38.0,Downtown,283981.0
1320.0,3,2.0,36.2,Rural,190516.0
1288.0,4,1.0,35.4,Suburb,195465.0
2071.0,3,4.0,9.0,Downtown,368018.0
1410.0,4,2.0,19.5,Suburb,224223.0
1256.0,3,1.0,38.0,Suburb,226090.0
1683.0,2,1.0,17.3,Waterfront,345547.0
2059.0,3,1.0,5.4,Downtown,364925.0
2158.0,3,3.0,33.3,Waterfront,384724.0
1418.0,3,3.0,0.0,Suburb,297787.0
1717.0,4,3.0,30.0,Suburb,274753.0
2111.0,4,1.0,12.1,Rural,292962.0
1447.0,4,3.0,13.4,Suburb,289619.0
2334.0,3,,30.5,Rural,301015.0
1890.0,4,3.0,27.2,Suburb,297076.0
1253.0,3,2.0,36.4,Waterfront,278030.0
2151.0,4,4.0,33.4,Suburb,372363.0
1644.0,4,1.0,34.8,Suburb,276429.0
2670.0,4,4.0,3.6,Rural,380535.0
1718.0,4,2.0,21.0,Suburb,285003.0
2643.0,2,2.0,31.8,Rural,363310.0
3063.0,4,1.0,11.1,Suburb,458829.0
2134.0,4,2.0,21.3,Downtown,374534.0
2100.0,4,1.0,5.7,Downtown,389074.0
1616.0,2,3.0,4.2,Rural,241523.0
1884.0,2,1.0,18.8,Rural,272722.0
2264.0,3,2.0,41.5,Suburb,342197.0
2924.0,3,2.0,20.5,Suburb,425566.0
2501.0,4,3.0,10.9,Suburb,410696.0
1377.0,4,3.0,33.6,Suburb,248073.0
2528.0,1,1.0,7.4,Suburb,379822.0
1436.0,3,1.0,16.4,Downtown,265560.0
2825.0,4,3.0,24.2,Waterfront,516248.0
2487.0,2,3.0,42.1,Rural,308230.0
2100.0,3,3.0,15.8,Suburb,341816.0
1150.0,2,1.0,4.2,Suburb,211503.0
2167.0,2,2.0,32.0,Rural,294764.0
1449.0,2,2.0,30.5,Suburb,252310.0
1406.0,2,4.0,38.2,Rural,211633.0
1748.0,2,2.0,34.9,Suburb,262955.0
920.0,3,2.0,41.8,Downtown,205715.0
1849.0,2,1.0,24.8,Downtown,316101.0
2009.0,4,4.0,15.4,Suburb,338488.0
2289.0,3,2.0,15.2,Rural,323933.0
1472.0,3,2.0,4.0,Rural,238900.0
1534.0,3,3.0,7.5,Suburb,279592.0
2543.0,2,2.0,32.1,Suburb,381198.0
2486.0,2,,16.0,Downtown,418502.0
878.0,4,2.0,7.9,Downtown,244520.0
2108.0,5,2.0,23.7,Downtown,381890.0
2353.0,4,2.0,4.1,Rural,349883.0
1417.0,5,2.0,13.7,Suburb,238568.0
2344.0,4,1.0,32.9,Suburb,344620.0
1663.0,4,1.0,37.3,Waterfront,328378.0
1590.0,2,3.0,20.3,Suburb,295153.0
1127.0,3,3.0,37.9,Rural,164294.0
2540.0,2,2.0,41.9,Suburb,371255.0
1248.0,3,3.0,0.9,Rural,226191.0
400.0,4,2.0,9.0,Waterfront,187885.0
981.0,2,3.0,9.3,Downtown,218603.0
1351.0,2,3.0,38.9,Waterfront,323218.0
1019.0,3,4.0,39.4,Downtown,234271.0
2550.0,3,2.0,43.3,Downtown,415929.0
1203.0,4,1.0,5.2,Suburb,242639.0
1466.0,2,3.0,36.3,Suburb,250772.0
1758.0,3,2.0,16.6,Rural,306029.0
2080.0,2,3.0,42.4,Rural,272441.0
949.0,3,2.0,12.6,Suburb,203969.0
730.0,3,2.0,9.6,Downtown,185982.0
1182.0,3,2.0,42.6,Downtown,220411.0
2027.0,3,2.0,13.9,Rural,284600.0
1558.0,3,3.0,7.2,Rural,243295.0
2053.0,4,3.0,24.6,Rural,277573.0
1302.0,2,4.0,36.2,Suburb,223993.0
2268.0,3,1.0,32.0,Suburb,324653.0
1892.0,2,2.0,2.2,Suburb,306798.0
1771.0,2,3.0,44.5,Suburb,292249.0
2030.0,5,3.0,44.1,Waterfront,388845.0
1936.0,3,1.0,12.0,Suburb,307280.0
1888.0,1,1.0,44.8,Rural,231429.0
935.0,2,1.0,22.2,Suburb,190274.0
1930.0,2,2.0,30.2,Suburb,299296.0
1694.0,5,1.0,20.1,Suburb,296516.0
2021.0,3,3.0,33.7,Downtown,334401.0
1914.0,5,2.0,18.7,Suburb,335290.0
1559.0,3,2.0,10.6,Waterfront,360453.0
2038.0,3,3.0,34.4,Suburb,345443.0
2636.0,3,1.0,7.5,Downtown,437998.0
2099.0,3,4.0,2.9,Rural,324085.0
1825.0,4,2.0,32.3,Suburb,298434.0
1882.0,3,3.0,8.5,Waterfront,407870.0
2377.0,3,3.0,18.2,Downtown,393880.0
1442.0,2,2.0,0.7,Downtown,277720.0
1820.0,5,2.0,29.4,Downtown,362092.0
1610.0,3,3.0,9.4,Downtown,325945.0
1007.0,3,3.0,44.2,Suburb,186411.0
2228.0,2,1.0,16.8,Rural,282636.0
2317.0,3,3.0,12.0,Downtown,399726.0
1646.0,3,3.0,18.4,Rural,251340.0
1732.0,2,2.0,11.5,Suburb,291239.0
2154.0,4,2.0,37.9,Downtown,357018.0
2791.0,2,1.0,4.4,Suburb,402621.0
1780.0,3,2.0,1.2,Suburb,331668.0
2892.0,2,2.0,37.3,Downtown,451490.0
2583.0,4,2.0,30.7,Suburb,400061.0
810.0,2,1.0,34.7,Suburb,138345.0
1766.0,2,2.0,39.4,Suburb,299105.0
2102.0,3,2.0,11.3,Suburb,340077.0
1690.0,4,1.0,29.8,Suburb,275810.0
2405.0,4,2.0,43.0,Suburb,355370.0
2025.0,2,2.0,3.1,Downtown,364285.0
2119.0,3,2.0,24.4,Downtown,378744.0
1703.0,2,3.0,34.2,Suburb,248592.0
858.0,3,3.0,28.2,Suburb,177223.0
2019.0,4,2.0,22.3,Rural,281305.0
1235.0,2,1.0,3.1,Suburb,232303.0
2263.0,3,1.0,25.3,Suburb,340278.0
1943.0,2,3.0,27.8,Downtown,340539.0
3397.0,4,2.0,8.5,Rural,471331.0
2024.0,2,3.0,13.5,Downtown,369498.0
835.0,4,2.0,12.3,Rural,162479.0
3057.0,2,2.0,29.8,Suburb,434699.0
2103.0,3,3.0,0.6,Rural,357446.0
2472.0,4,4.0,34.7,Downtown,400004.0
2603.0,3,2.0,13.3,Suburb,419383.0
1319.0,1,3.0,27.4,Suburb,230596.0
1277.0,3,3.0,3.7,Rural,206498.0
2271.0,4,1.0,37.0,Downtown,392612.0
1243.0,4,2.0,5.4,Waterfront,306123.0
822.0,5,2.0,41.7,Rural,146768.0
1447.0,4,3.0,5.5,Suburb,295642.0
1704.0,4,2.0,4.7,Downtown,326038.0
2172.0,3,2.0,10.4,Waterfront,403947.0
1553.0,3,3.0,9.3,Suburb,267660.0
1432.0,4,2.0,6.3,Suburb,258626.0
2036.0,3,2.0,32.6,Suburb,311748.0
1879.0,4,2.0,4.4,Suburb,310899.0
2234.0,4,2.0,31.1,Rural,283527.0
1125.0,3,2.0,41.0,Suburb,227966.0
2934.0,5,1.0,30.2,Waterfront,498673.0
1181.0,2,2.0,17.2,Downtown,241526.0
2407.0,3,2.0,20.2,Rural,351322.0
2325.0,3,2.0,42.0,Suburb,338732.0
1395.0,1,2.0,41.8,Rural,188992.0
1773.0,4,4.0,13.6,Downtown,369391.0
1532.0,4,2.0,13.8,Suburb,291426.0
2175.0,3,3.0,31.2,Rural,309319.0
2339.0,2,2.0,38.1,Suburb,345549.0
1821.0,5,3.0,30.4,Suburb,308543.0
1944.0,4,3.0,20.6,Rural,311879.0
1447.0,4,2.0,13.0,Downtown,304076.0
2222.0,5,1.0,40.0,Suburb,318832.0
2190.0,4,2.0,3.6,Downtown,372521.0
1708.0,2,3.0,20.7,Downtown,312402.0
1292.0,3,2.0,21.6,Rural,188021.0
2393.0,2,1.0,13.4,Suburb,342137.0
1326.0,5,3.0,24.2,Downtown,282606.0
1544.0,3,2.0,43.9,Downtown,297687.0
1412.0,3,4.0,32.0,Suburb,248601.0
1984.0,1,3.0,7.8,Suburb,328068.0
1804.0,2,3.0,0.0,Downtown,345197.0
1118.0,3,4.0,29.1,Waterfront,311167.0
1558.0,3,2.0,19.6,Downtown,286832.0
1499.0,2,3.0,5.2,Suburb,245977.0
2327.0,2,3.0,28.4,Rural,316232.0
3123.0,2,1.0,3.4,Suburb,447367.0
2758.0,4,4.0,41.6,Downtown,453264.0
2781.0,2,1.0,4.9,Suburb,426467.0
2701.0,3,1.0,29.2,Suburb,389578.0
1588.0,2,1.0,17.6,Downtown,304772.0
1649.0,2,,37.1,Rural,224123.0
1204.0,4,2.0,37.8,Suburb,209890.0
2412.0,4,3.0,25.8,Downtown,396668.0
1986.0,4,1.0,8.0,Rural,309928.0
1354.0,1,4.0,32.6,Suburb,210976.0
2137.0,4,2.0,1.0,Rural,316607.0
1837.0,4,4.0,6.1,Downtown,363863.0
2378.0,4,2.0,33.0,Rural,327995.0
1736.0,2,3.0,27.0,Downtown,340898.0
1526.0,2,3.0,9.0,Downtown,279263.0
1856.0,3,1.0,13.9,Rural,269009.0
1804.0,4,2.0,38.8,Suburb,279343.0
2333.0,3,2.0,36.2,Downtown,373983.0
1683.0,3,3.0,18.1,Suburb,283385.0
1611.0,4,3.0,18.0,Suburb,293301.0
1920.0,3,2.0,29.1,Downtown,358707.0
1173.0,2,4.0,32.9,Suburb,199971.0
1558.0,5,2.0,38.2,Suburb,249778.0
2233.0,3,1.0,39.8,Suburb,343291.0
1331.0,4,3.0,18.9,Suburb,236229.0
2403.0,3,4.0,43.2,Suburb,361111.0
1497.0,2,2.0,33.7,Downtown,271692.0
1688.0,5,2.0,16.3,Rural,289420.0
2100.0,4,3.0,23.3,Rural,299643.0
1880.0,3,2.0,4.0,Suburb,318312.0
1130.0,3,1.0,23.6,Downtown,217063.0
933.0,2,3.0,26.5,Suburb,193803.0
1926.0,2,1.0,23.4,Rural,278572.0
1273.0,2,2.0,4.6,Rural,232804.0
1627.0,4,3.0,41.4,Suburb,281684.0
2132.0,4,2.0,4.4,Downtown,388455.0
1678.0,2,3.0,28.7,Waterfront,368203.0
1493.0,3,2.0,33.2,Suburb,242473.0
1183.0,3,1.0,35.8,Waterfront,256920.0
1861.0,4,2.0,24.9,Downtown,340642.0
3072.0,4,2.0,17.5,Downtown,490058.0
1284.0,5,2.0,10.8,Suburb,258243.0
1005.0,3,2.0,0.4,Suburb,220408.0
1580.0,4,2.0,20.9,Waterfront,343523.0
2457.0,3,2.0,18.9,Downtown,426330.0
1642.0,3,2.0,35.5,Suburb,247871.0
1731.0,5,1.0,0.6,Suburb,314384.0
1758.0,2,2.0,32.5,Rural,259666.0
1888.0,3,3.0,19.8,Rural,265112.0
1283.0,5,2.0,25.6,Suburb,228324.0
1108.0,5,,17.6,Rural,208532.0
1780.0,2,,10.0,Suburb,314854.0
2819.0,4,2.0,39.4,Rural,383490.0
883.0,3,3.0,5.2,Rural,193919.0
1655.0,1,1.0,37.4,Downtown,276825.0
1649.0,5,3.0,37.6,Suburb,297087.0
1556.0,2,3.0,37.2,Downtown,293397.0
1872.0,1,1.0,23.8,Suburb,243913.0
1432.0,4,4.0,9.4,Suburb,300103.0
2244.0,1,3.0,43.8,Downtown,385480.0
1356.0,2,3.0,19.1,Suburb,243108.0
1018.0,2,3.0,18.1,Downtown,253333.0
1690.0,4,1.0,5.2,Suburb,293860.0
2121.0,4,2.0,39.8,Suburb,329997.0
3373.0,1,3.0,35.7,Downtown,486778.0
1695.0,2,2.0,38.6,Downtown,296824.0
2720.0,4,2.0,15.6,Downtown,448516.0
954.0,3,3.0,36.0,Rural,137889.0
2306.0,3,2.0,2.9,Suburb,374159.0
2591.0,2,3.0,13.7,Suburb,395760.0
1770.0,4,3.0,11.3,Rural,264327.0
2313.0,3,1.0,26.9,Downtown,393022.0
1649.0,3,3.0,34.8,Rural,261497.0
1542.0,3,3.0,19.0,Suburb,259403.0
1715.0,5,2.0,36.7,Suburb,318581.0
2194.0,2,2.0,26.3,Waterfront,388448.0
798.0,4,2.0,11.2,Downtown,244876.0
2589.0,2,3.0,11.8,Suburb,396636.0
1688.0,4,3.0,3.6,Downtown,350838.0
1498.0,2,2.0,15.3,Suburb,262514.0
2450.0,2,2.0,8.8,Downtown,418629.0
1937.0,3,2.0,34.0,Downtown,343234.0
3238.0,4,1.0,5.8,Downtown,533274.0
1203.0,4,3.0,20.4,Suburb,216620.0
1704.0,2,2.0,23.8,Downtown,315703.0
1560.0,4,4.0,34.9,Rural,220041.0
2559.0,3,1.0,4.7,Downtown,418866.0
1395.0,2,2.0,0.9,Rural,240007.0
1019.0,2,4.0,30.2,Suburb,197899.0
419.0,2,4.0,15.0,Downtown,160341.0
945.0,5,2.0,8.2,Rural,186750.0
1806.0,2,2.0,25.5,Rural,250767.0
1342.0,4,3.0,38.8,Downtown,278554.0
2451.0,5,2.0,22.5,Suburb,382722.0
923.0,3,1.0,31.3,Downtown,206930.0
1701.0,5,3.0,8.1,Suburb,323192.0
974.0,2,2.0,24.6,Suburb,171745.0
1655.0,3,4.0,30.7,Suburb,280181.0
1329.0,5,2.0,1.1,Suburb,270324.0
